                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.3343,                 1.9878,                0.70478,                 0.9497,                 0.7826,                0.71967,                 0.7215,                0.44844,                 0.7283,                0.66817,                0.67854,                0.29668,                 1.3203,                 2.0894,                 0.7055,                0.93017,               0.003565,               0.003565,               0.003565
                     68,                 1.3333,                 2.0039,                0.70745,                0.95287,                 0.7845,                0.72211,                0.72335,                0.44884,                0.73079,                0.66943,                0.67713,                0.29674,                 1.3155,                 2.0846,                0.70433,                0.92905,               0.003466,               0.003466,               0.003466
                     69,                 1.3204,                 1.9846,                 0.6921,                0.95824,                0.78273,                 0.7247,                0.72052,                0.44642,                0.72729,                0.66777,                0.67733,                0.29538,                 1.3217,                 2.0866,                0.70341,                0.93133,               0.003367,               0.003367,               0.003367
                     70,                 1.3047,                   1.93,                0.69175,                0.94552,                0.78077,                0.72045,                0.72043,                0.44817,                0.72061,                0.67316,                0.67899,                0.29712,                 1.3185,                 2.0922,                 0.7065,                0.93039,               0.003268,               0.003268,               0.003268
                     71,                 1.3117,                 1.9604,                0.68948,                0.94477,                0.78014,                0.71969,                0.71904,                0.44653,                0.72376,                0.67482,                0.68183,                0.29854,                 1.3208,                 2.0949,                0.70716,                0.93102,               0.003169,               0.003169,               0.003169
                     72,                 1.3016,                  1.963,                 0.6881,                 0.9426,                0.78254,                0.71939,                0.72037,                0.44902,                0.71705,                0.67234,                0.67952,                0.29957,                 1.3132,                 2.0846,                0.70614,                0.92959,                0.00307,                0.00307,                0.00307
                     73,                 1.3065,                 1.9452,                 0.6889,                0.94697,                0.78425,                0.71918,                0.72031,                0.44791,                0.71772,                0.67175,                 0.6786,                0.29752,                 1.3105,                 2.0777,                0.70438,                0.92924,               0.002971,               0.002971,               0.002971
                     74,                 1.3024,                 1.9818,                0.68978,                0.94645,                0.78501,                0.71937,                0.72226,                0.44909,                0.72095,                0.67151,                0.67726,                0.29877,                 1.3101,                  2.073,                0.70556,                0.92887,               0.002872,               0.002872,               0.002872
                     75,                 1.3199,                 1.9849,                0.69476,                0.94829,                0.78517,                0.72156,                0.72241,                0.44913,                0.72204,                0.66943,                0.67644,                0.29644,                 1.3086,                 2.0687,                0.70038,                0.92891,               0.002773,               0.002773,               0.002773
                     76,                 1.2865,                 1.9465,                0.67471,                0.93969,                 0.7845,                0.72022,                0.72117,                0.44994,                0.72663,                0.66943,                0.67809,                0.29628,                 1.3063,                 2.0688,                0.69883,                0.92849,               0.002674,               0.002674,               0.002674
                     77,                 1.2913,                 1.9259,                0.68215,                0.94012,                0.78794,                 0.7166,                0.72201,                0.45028,                0.72935,                0.66653,                0.67722,                 0.2973,                 1.3055,                 2.0676,                0.69936,                0.92768,               0.002575,               0.002575,               0.002575
                     78,                 1.3041,                 1.9529,                0.69185,                0.94311,                0.78837,                0.71537,                0.72239,                0.44938,                0.72969,                0.66777,                0.67871,                0.29753,                 1.3037,                 2.0665,                0.69715,                0.92646,               0.002476,               0.002476,               0.002476
                     79,                 1.2854,                 1.9924,                 0.6762,                0.94084,                0.78744,                0.71758,                0.72297,                0.44977,                0.72984,                0.66943,                 0.6794,                0.29837,                 1.3072,                 2.0645,                0.69881,                0.92764,               0.002377,               0.002377,               0.002377
                     80,                 1.2841,                 1.9165,                0.67358,                0.93862,                0.79088,                0.71589,                0.72273,                 0.4502,                0.72594,                0.66686,                0.67692,                0.29832,                  1.305,                  2.065,                0.69678,                0.92727,               0.002278,               0.002278,               0.002278
                     81,                 1.2794,                 1.9201,                0.66629,                0.94183,                0.79302,                0.71257,                0.72234,                0.45037,                0.72596,                0.66445,                0.67584,                 0.2954,                 1.3054,                 2.0646,                0.69643,                0.92774,               0.002179,               0.002179,               0.002179
                     82,                 1.2767,                 1.9438,                0.66871,                0.93926,                 0.7915,                0.71327,                0.72341,                0.45094,                0.72833,                0.67053,                0.67957,                0.29765,                  1.304,                 2.0654,                0.69433,                 0.9279,                0.00208,                0.00208,                0.00208
                     83,                 1.2811,                 1.9558,                0.67709,                0.94168,                0.79078,                0.71331,                0.72259,                0.45107,                0.72902,                0.66611,                0.67966,                0.29706,                 1.3045,                 2.0632,                0.69348,                0.92882,               0.001981,               0.001981,               0.001981
                     84,                 1.2673,                 1.9205,                0.66932,                0.93818,                0.79092,                0.71464,                0.72327,                0.45163,                0.72862,                0.66816,                0.67816,                0.29797,                 1.3019,                 2.0616,                0.69278,                0.92879,               0.001882,               0.001882,               0.001882
                     85,                  1.263,                 1.8909,                0.66571,                0.93896,                0.79059,                0.71672,                0.72378,                0.45126,                0.72951,                0.66736,                0.67819,                0.29719,                 1.3003,                 2.0676,                0.69202,                0.92815,               0.001783,               0.001783,               0.001783
                     86,                 1.2762,                 1.9394,                0.67374,                0.94057,                0.79012,                0.71713,                0.72394,                0.45224,                  0.731,                0.66727,                0.67771,                 0.2973,                 1.2998,                 2.0681,                0.69195,                0.92783,               0.001684,               0.001684,               0.001684
                     87,                 1.2646,                 1.9228,                0.66612,                0.93597,                0.78973,                0.71658,                0.72392,                0.45339,                0.73254,                0.66569,                 0.6773,                0.29692,                  1.298,                 2.0671,                0.69217,                0.92738,               0.001585,               0.001585,               0.001585
                     88,                 1.2545,                 1.8987,                0.66254,                 0.9322,                0.79007,                0.71494,                0.72334,                0.45306,                0.73232,                0.66268,                0.67659,                 0.2967,                 1.2991,                 2.0655,                0.69193,                0.92743,               0.001486,               0.001486,               0.001486
                     89,                 1.2557,                 1.9246,                0.66608,                0.93336,                 0.7895,                 0.7156,                0.72371,                0.45339,                0.73101,                0.66165,                 0.6754,                0.29508,                 1.2979,                 2.0656,                0.69109,                0.92761,               0.001387,               0.001387,               0.001387
                     90,                 1.2544,                   1.89,                 0.6535,                0.93496,                0.79005,                0.71641,                0.72371,                0.45319,                0.73213,                0.66197,                0.67595,                0.29439,                 1.2969,                  2.065,                0.69117,                0.92693,               0.001288,               0.001288,               0.001288
                     91,                 1.2638,                 1.9366,                0.66438,                0.96144,                0.79074,                0.71754,                0.72517,                0.45402,                0.73222,                 0.6628,                 0.6762,                0.29507,                 1.2967,                 2.0649,                0.69014,                0.92716,               0.001189,               0.001189,               0.001189
                     92,                 1.2486,                  1.891,                0.65692,                0.95447,                0.79221,                0.71754,                0.72513,                0.45291,                0.72709,                0.66487,                  0.677,                0.29524,                 1.2967,                 2.0637,                0.68872,                0.92699,                0.00109,                0.00109,                0.00109
                     93,                 1.2403,                 1.9153,                0.66044,                0.95395,                0.79106,                0.71796,                0.72493,                0.45319,                0.72515,                0.66694,                0.67579,                0.29509,                 1.2956,                 2.0622,                 0.6893,                0.92625,               0.000991,               0.000991,               0.000991
                     94,                 1.2459,                 1.9068,                0.65887,                0.95978,                0.79143,                0.71796,                0.72461,                0.45299,                0.72772,                0.66733,                0.67741,                0.29533,                 1.2953,                  2.061,                0.68955,                0.92613,               0.000892,               0.000892,               0.000892
                     95,                 1.2335,                 1.8953,                0.65787,                0.95202,                0.79207,                0.71887,                0.72494,                  0.454,                0.72843,                0.66487,                0.67578,                0.29573,                 1.2941,                 2.0619,                0.68905,                0.92583,               0.000793,               0.000793,               0.000793
                     96,                 1.2411,                 1.9066,                0.65637,                0.95176,                0.79339,                0.71879,                0.72495,                0.45348,                0.72572,                0.66611,                 0.6748,                0.29595,                 1.2939,                 2.0618,                 0.6886,                0.92575,               0.000694,               0.000694,               0.000694
                     97,                 1.2234,                 1.8767,                 0.6466,                0.94871,                0.79286,                 0.7192,                0.72534,                0.45405,                0.72594,                0.66578,                0.67435,                0.29479,                 1.2938,                 2.0615,                0.68801,                0.92548,               0.000595,               0.000595,               0.000595
                     98,                 1.2249,                 1.9074,                0.64237,                0.95126,                0.79405,                0.72003,                0.72651,                0.45515,                0.72769,                0.66613,                0.67593,                0.29581,                  1.293,                 2.0609,                0.68852,                0.92523,               0.000496,               0.000496,               0.000496
                     99,                 1.2291,                 1.8973,                0.64871,                0.95491,                0.79477,                 0.7196,                0.72607,                0.45471,                0.72939,                0.66694,                0.67712,                0.29586,                 1.2928,                   2.06,                0.68879,                0.92509,               0.000397,               0.000397,               0.000397
                    100,                 1.2228,                 1.9163,                0.64872,                 0.9496,                0.79359,                0.72045,                0.72688,                0.45537,                0.72939,                0.66736,                0.67728,                0.29519,                 1.2919,                 2.0597,                0.68751,                0.92485,               0.000298,               0.000298,               0.000298
