                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.2585,                 2.0349,                0.67504,                0.97101,                0.78307,                0.71662,                0.72359,                 0.4505,                0.72956,                0.66331,                0.67737,                0.29846,                 1.3229,                 2.3368,                 0.7175,                0.92529,               0.001288,               0.001288,               0.001288
                     91,                  1.264,                 2.0419,                0.68546,                0.98606,                0.78159,                0.71787,                0.72495,                0.45103,                0.72834,                0.66142,                0.67726,                0.29901,                 1.3246,                  2.335,                0.71746,                0.92553,               0.001189,               0.001189,               0.001189
                     92,                 1.2369,                 2.0055,                0.66239,                0.97838,                0.78313,                0.71787,                0.72508,                0.45067,                0.72643,                0.65939,                  0.675,                0.29819,                 1.3237,                 2.3329,                0.71654,                0.92522,                0.00109,                0.00109,                0.00109
                     93,                 1.2455,                 1.9953,                0.65747,                0.97853,                0.78255,                0.71787,                0.72519,                0.45138,                0.72886,                0.66205,                0.67675,                0.29944,                 1.3225,                 2.3317,                0.71544,                0.92521,               0.000991,               0.000991,               0.000991
                     94,                 1.2352,                 2.0004,                0.65959,                0.97386,                0.77929,                0.72035,                0.72553,                0.45145,                 0.7281,                 0.6561,                0.67555,                0.29897,                  1.321,                 2.3321,                0.71452,                0.92509,               0.000892,               0.000892,               0.000892
                     95,                 1.2241,                 2.0128,                0.65112,                0.97143,                0.77428,                0.72611,                0.72579,                0.45183,                0.72662,                0.65651,                0.67549,                0.29931,                 1.3207,                 2.3374,                0.71503,                0.92472,               0.000793,               0.000793,               0.000793
                     96,                 1.2216,                 1.9909,                0.65284,                0.96553,                0.77836,                0.72028,                0.72591,                0.45188,                0.72723,                0.66021,                0.67615,                0.29931,                 1.3185,                 2.3334,                0.71322,                0.92444,               0.000694,               0.000694,               0.000694
                     97,                 1.2275,                 1.9837,                0.64972,                0.97232,                0.77937,                0.71911,                0.72532,                0.45207,                0.72922,                0.65774,                0.67682,                0.29977,                 1.3188,                 2.3338,                0.71311,                0.92458,               0.000595,               0.000595,               0.000595
                     98,                 1.2187,                  1.989,                 0.6502,                0.97316,                0.77985,                0.71928,                 0.7258,                0.45218,                0.72834,                  0.657,                0.67594,                0.29956,                 1.3186,                 2.3348,                0.71251,                0.92392,               0.000496,               0.000496,               0.000496
                     99,                 1.2109,                 1.9737,                0.64596,                0.96446,                0.78082,                0.71993,                0.72644,                0.45283,                0.72866,                0.65651,                 0.6767,                0.29989,                 1.3165,                 2.3342,                0.71225,                0.92403,               0.000397,               0.000397,               0.000397
                    100,                 1.2059,                 1.9719,                0.64667,                0.96481,                 0.7803,                0.71969,                 0.7268,                0.45332,                0.72694,                0.65774,                0.67712,                0.29987,                 1.3157,                 2.3351,                0.71167,                0.92347,               0.000298,               0.000298,               0.000298
